,Image Filename,coordinates,Term
0,Image_328.jpg,"90,42,585,737,",Violin (3573)
1,Image_853.jpg,"30,147,393,318,",Trumpet  (4446)
2,Image_5739.jpg,"277,441,665,725,",Harp (3285)
3,Image_5364.jpg,"350,17,549,117,",Trumpet  (4446)
4,Image_5364.jpg,"350,17,549,117,",Violin (3573)
5,Image_5364.jpg,"78,52,408,164,",Trumpet  (4446)
6,Image_5364.jpg,"78,52,408,164,",Violin (3573)
7,Image_2559.jpg,"218,453,334,743,",Tabor pipe (6689)
8,Image_2559.jpg,"218,453,334,743,",Cylindrical drum (2532)
9,Image_2559.jpg,"146,336,414,475,",Tabor pipe (6689)
10,Image_2559.jpg,"146,336,414,475,",Cylindrical drum (2532)
11,Image_3873.jpg,"298,64,547,238,",Recorder (4039)
12,Image_3873.jpg,"298,64,547,238,",Lyre (3501)
13,Image_3873.jpg,"305,143,498,409,",Recorder (4039)
14,Image_3873.jpg,"305,143,498,409,",Lyre (3501)
15,Image_4666.jpg,"220,75,352,288,",Lyre (3501)
16,Image_416.jpg,"157,10,454,282,",Violin (3573)
17,Image_5246.jpg,"33,87,395,947,",Chromatic harp (3274)
18,Image_5441.jpg,"740,169,277,239,",Violin (3573)
19,Image_5441.jpg,"740,169,277,239,",Tambourine (2746)
20,Image_4764.jpg,"355,255,492,332,",Trumpet  (4446)
21,Image_5432.jpg,"436,153,179,982,",Lute (3394)
22,Image_4450.jpg,"244,457,637,671,",Violin (3573)
23,Image_4217.jpg,"40,47,706,468,",Drum (2585)
24,Image_5316.jpg,"95,120,186,291,",Harp (3285)
25,Image_4828.jpg,"326,402,511,628,",Drum (2585)
26,Image_4828.jpg,"326,402,511,628,",Shamisen (3451)
27,Image_4828.jpg,"455,424,776,671,",Drum (2585)
28,Image_4828.jpg,"455,424,776,671,",Shamisen (3451)
29,Image_4828.jpg,"118,75,844,371,",Drum (2585)
30,Image_4828.jpg,"118,75,844,371,",Shamisen (3451)
31,Image_264.jpg,"294,72,732,572,",Upright pianoforte (2311)
32,Image_3126.jpg,"74,57,701,539,",Upright pianoforte (2311)
33,Image_2386.jpg,"-2,64,350,568,",Upright pianoforte (2311)
34,Image_4192.jpg,"30,45,295,572,",Upright pianoforte (2311)
35,Image_649.jpg,"67,41,685,540,",Upright pianoforte (2311)
36,Image_749.jpg,"131,121,917,519,",Xylophone (3099)
37,Image_3070.jpg,"619,233,773,391,",Flute (3955)
38,Image_3070.jpg,"619,233,773,391,",Frame drum (2598)
39,Image_3070.jpg,"547,211,679,337,",Flute (3955)
40,Image_3070.jpg,"547,211,679,337,",Frame drum (2598)
41,Image_4842.jpg,"290,273,591,848,",Double bass  (3111)
42,Image_4842.jpg,"290,273,591,848,",Violoncello (3582)
43,Image_4842.jpg,"290,273,591,848,",Violin (3573)
44,Image_2486.jpg,"314,138,542,372,",Drum (2585)
45,Image_2486.jpg,"314,138,542,372,",Violin (3573)
46,Image_2486.jpg,"159,341,331,576,",Drum (2585)
47,Image_2486.jpg,"159,341,331,576,",Violin (3573)
48,Image_1937.jpg,"46,160,358,467,",Organ (2266)
49,Image_1007.jpg,"36,53,641,721,",Violoncello (3582)
50,Image_4629.jpg,"325,1236,1370,1895,",End-blown trumpet (6556)
51,Image_4629.jpg,"39,1922,1056,1181,",End-blown trumpet (6556)
52,Image_2888.jpg,"224,301,386,596,",Accordion (3732)
53,Image_2888.jpg,"224,301,386,596,",Trumpet  (4446)
54,Image_2888.jpg,"446,343,621,468,",Accordion (3732)
55,Image_2888.jpg,"446,343,621,468,",Trumpet  (4446)
56,Image_2718.jpg,"193,312,367,492,",Shawm (4258)
57,Image_4601.jpg,"402,368,634,669,",Bagpipe (3746)
58,Image_2495.jpg,"327,205,793,393,",Trumpet  (4446)
59,Image_2495.jpg,"327,205,793,393,",Horn (4118)
60,Image_2495.jpg,"327,205,793,393,",Lyre (3501)
61,Image_2495.jpg,"327,205,793,393,",Drum (2585)
62,Image_2495.jpg,"411,675,755,827,",Trumpet  (4446)
63,Image_2495.jpg,"411,675,755,827,",Horn (4118)
64,Image_2495.jpg,"411,675,755,827,",Lyre (3501)
65,Image_2495.jpg,"411,675,755,827,",Drum (2585)
66,Image_2495.jpg,"403,361,725,757,",Trumpet  (4446)
67,Image_2495.jpg,"403,361,725,757,",Horn (4118)
68,Image_2495.jpg,"403,361,725,757,",Lyre (3501)
69,Image_2495.jpg,"403,361,725,757,",Drum (2585)
70,Image_2495.jpg,"821,245,953,387,",Trumpet  (4446)
71,Image_2495.jpg,"821,245,953,387,",Horn (4118)
72,Image_2495.jpg,"821,245,953,387,",Lyre (3501)
73,Image_2495.jpg,"821,245,953,387,",Drum (2585)
74,Image_2495.jpg,"709,377,1017,893,",Trumpet  (4446)
75,Image_2495.jpg,"709,377,1017,893,",Horn (4118)
76,Image_2495.jpg,"709,377,1017,893,",Lyre (3501)
77,Image_2495.jpg,"709,377,1017,893,",Drum (2585)
78,Image_2495.jpg,"69,397,457,881,",Trumpet  (4446)
79,Image_2495.jpg,"69,397,457,881,",Horn (4118)
80,Image_2495.jpg,"69,397,457,881,",Lyre (3501)
81,Image_2495.jpg,"69,397,457,881,",Drum (2585)
82,Image_495.jpg,"102,358,155,608,",Tabor pipe (6689)
83,Image_495.jpg,"102,358,155,608,",Side drum (2729)
84,Image_495.jpg,"15,473,135,606,",Tabor pipe (6689)
85,Image_495.jpg,"15,473,135,606,",Side drum (2729)
86,Image_2382.jpg,"-5,148,263,828,",Percussion instruments (2370)
87,Image_2382.jpg,"208,10,735,776,",Percussion instruments (2370)
88,Image_2682.jpg,"353,215,467,343,",Cymbals (2451)
89,Image_2682.jpg,"353,215,467,343,",Drum (2585)
90,Image_2682.jpg,"207,201,349,335,",Cymbals (2451)
91,Image_2682.jpg,"207,201,349,335,",Drum (2585)
92,Image_2682.jpg,"463,193,747,519,",Cymbals (2451)
93,Image_2682.jpg,"463,193,747,519,",Drum (2585)
94,Image_2166.jpg,"228,166,506,391,",Bagpipe (3746)
95,Image_117.jpg,"398,21,1296,913,",Recorder (4039)
