Image Filename,coordinates,Term,Encoded-Term
Image_1426.jpg,"2202,1131,2394,1527,",Shawm (4258),74
Image_3565.jpeg,"1269,172,1404,324,",Shawm (4258),74
Image_2077.jpg,"2395,809,2485,890,",Fiddle (3142),34
Image_3903.jpg,"825,1286,1247,1610,",Horn (4118),44
Image_3115.jpg,"388,2469,873,2715,",Psaltery (3677),70
Image_4675.jpeg,"614,82,695,164,",Triangle (3005),87
Image_4310.jpg,"422,1636,449,1698,",Harp (3285),42
Image_5618.jpeg,"1278,594,1510,869,",Fife (3945),35
Image_4675.jpeg,"194,167,300,242,",Violin (3573),99
Image_698.jpg,"838,1957,1227,2948,",Panpipe (4024),64
Image_3119.jpg,"1165,2337,1393,2630,",End-blown trumpet (6556),33
Image_4668.jpg,"124,484,230,633,",Trumpet  (4446),89
Image_1201.jpg,"257,410,355,553,",Violone (3609),101
Image_3252.jpg,"775,1929,1317,2386,",Lute (3394),54
Image_4208.jpg,"172,244,596,974,",Cylindrical drum (2532),22
Image_5665.jpg,"1091,2175,1302,2497,",End-blown trumpet (6556),33
Image_169.jpg,"130,189,164,312,",Cornett (3868),19
Image_3934.jpg,"466,453,507,465,",Dulcimer (3644),30
Image_3578.jpeg,"97,474,154,517,",Horn (4118),44
Image_3614.jpg,"199,331,235,355,",Lute (3394),54
Image_862.jpg,"1817,-8,4164,1641,",Lute (3394),54
Image_4798.jpg,"3811,757,3949,953,",Psaltery (3677),70
Image_3565.jpeg,"1100,343,1425,706,",Lyre (3501),55
Image_3121.jpg,"776,817,829,865,",Kettledrum (2887),48
Image_2951.jpg,"1134,345,1333,708,",Harp (3285),42
Image_1649.jpg,"2733,1452,3306,1683,",Violone (3609),101
Image_1493.jpg,"599,1717,787,2156,",Lute (3394),54
Image_985.jpg,"307,542,379,654,",Portative organ (2267),68
Image_2038.jpg,"156,240,347,444,",Stringed instruments (3101),78
Image_2643.jpg,"679,2284,755,2372,",Side drum (2729),75
Image_3708.jpg,"2326,1235,2637,1406,",Psaltery (3677),70
Image_2565.jpg,"1714,886,1857,1114,",Psaltery (3677),70
Image_1901.jpg,"2733,373,2831,535,",Viola da gamba (3604),98
Image_1213.jpeg,"246,266,787,507,",Transverse flute (4093),85
Image_3934.jpg,"590,410,615,440,",Trumpet  (4446),89
Image_421.jpg,"193,214,211,260,",Accordion (3732),0
Image_637.jpg,"2609,1129,2798,1446,",End-blown trumpet (6556),33
Image_4786.jpg,"569,1326,893,1762,",Natural horn (4126),58
Image_5677.jpg,"206,325,232,355,",Lute (3394),54
Image_5056.jpg,"157,1549,187,1621,",Harpsichord (2251),43
Image_3639.jpg,"353,323,633,866,",Organ (2266),62
Image_2006.jpg,"1740,867,3893,1967,",Violin (3573),99
Image_1342.jpg,"451,2535,758,2893,",Flute (3955),36
Image_1784.jpg,"285,302,398,547,",Shawm (4258),74
Image_3550.jpg,"527,2039,1111,2928,",Positive organ (2268),69
Image_2081.jpg,"838,2060,1258,2440,",Panpipe (4024),64
Image_2404.jpg,"2427,1105,2468,1143,",Violoncello (3582),100
Image_282.jpeg,"344,117,444,265,",Violoncello (3582),100
Image_3578.jpeg,"95,476,124,512,",Tabor pipe (6689),80
Image_5234.png,"129,433,303,641,",Flute (3955),36
Image_5513.jpg,"3039,1253,3922,1996,",Guitar (3237),40
Image_2354.jpg,"531,1504,639,1597,",Dulcimer (3644),30
Image_782.jpg,"590,450,652,613,",Portative organ (2267),68
Image_3081.jpg,"104,179,312,343,",Viola da gamba (3604),98
Image_4999.jpg,"1448,1306,1537,1521,",Harp (3285),42
Image_4110.png,"243,510,346,611,",Flute (3955),36
Image_3715.jpg,"174,28,385,198,",Percussion instruments (2370),65
Image_637.jpg,"2283,639,2504,830,",Nakers (2893),57
Image_1722.jpg,"881,1911,1236,2099,",Harp (3285),42
Image_420.jpg,"1426,2350,1478,2503,",Shawm (4258),74
Image_2875.jpg,"1869,611,1896,690,",Wind instruments (3730),104
Image_3027.png,"238,169,389,332,",Wind instruments (3730),104
Image_1672.jpg,"265,742,376,808,",End-blown horn  (5177),32
Image_1590.jpg,"710,1773,1328,2273,",Tambourine (2746),81
Image_3383.jpg,"115,343,188,402,",Hunting horn (4138),45
Image_658.jpg,"941,2007,1011,2195,",Positive organ (2268),69
Image_437.jpg,"692,1793,845,1845,",Carillon  (2387),10
Image_1254.jpg,"894,855,1060,1148,",Fiddle (3142),34
Image_2404.jpg,"1693,984,1732,1109,",Trumpet  (4446),89
Image_4077.png,"247,183,337,252,",Portative organ (2267),68
Image_3719.jpg,"323,12,479,325,",Harp (3285),42
Image_3493.JPEG,"104,997,263,1154,",Tenor viol (3591),83
Image_4770.jpg,"263,68,276,82,",Cylindrical drum (2532),22
Image_3578.jpeg,"644,502,671,534,",Tabor pipe (6689),80
Image_220.jpg,"202,321,260,401,",Horn (4118),44
Image_4099.jpg,"949,3324,1020,3406,",Lute (3394),54
Image_2354.jpg,"3547,1545,3643,1700,",Frame drum (2598),37
Image_194.jpeg,"1,164,41,225,",Trombone (4369),88
Image_525.jpg,"12,12,362,237,",Lyre (3501),55
Image_4297.jpg,"42,1249,343,1945,",Lute (3394),54
Image_421.jpg,"459,210,487,228,",Side drum (2729),75
Image_2404.jpg,"1916,1090,1970,1137,",Horn (4118),44
Image_5674.jpg,"225,1414,1117,1664,",Lute (3394),54
Image_4290.jpeg,"352,330,616,788,",Organ (2266),62
Image_2197.jpg,"2844,988,3137,1986,",Rebec  (3202),71
Image_4685.jpg,"1980,2160,2126,2449,",Harp (3285),42
Image_336.jpg,"533,938,573,966,",Fiddle (3142),34
Image_4696.jpg,"198,314,227,470,",Viol (3597),95
Image_5510.png,"629,352,663,367,",Tabor pipe (6689),80
Image_1035.jpg,"680,267,1230,990,",Portative organ (2267),68
Image_4005.jpg,"250,211,288,282,",Bagpipe (3746),2
Image_3493.JPEG,"161,754,357,916,",Bagpipe (3746),2
Image_2838.jpg,"389,158,430,225,",Drum (2585),27
Image_3493.JPEG,"209,715,275,965,",Hurdy-gurdy (3305),46
Image_985.jpg,"1465,699,1583,778,",Cittern (3106),13
Image_5009.jpg,"143,156,172,182,",Drum (2585),27
Image_637.jpg,"1033,1443,1162,1548,",Psaltery (3677),70
Image_5763.jpg,"595,256,644,331,",Harp (3285),42
Image_3934.jpg,"548,652,577,680,",Harp (3285),42
Image_5660.jpeg,"74,390,142,492,",Psaltery (3677),70
Image_2753.jpg,"191,180,212,282,",Percussion instruments (2370),65
Image_1205.jpg,"1390,431,1530,787,",Portative organ (2267),68
Image_4183.jpg,"2595,2794,3199,3206,",Shawm (4258),74
Image_180.jpg,"1252,1608,1668,2019,",Harp (3285),42
Image_4503.jpeg,"24,81,92,150,",Jingle (2873),47
Image_2056.jpg,"887,506,1737,1119,",Cittern (3106),13
Image_1217.jpeg,"495,544,549,602,",Portative organ (2267),68
Image_3934.jpg,"179,556,201,587,",Trumpet  (4446),89
Image_3238.jpg,"1204,1541,1609,1772,",Dulcimer (3644),30
Image_4310.jpg,"746,1644,799,1679,",Lute (3394),54
Image_1813.jpg,"1050,882,1171,1174,",Psaltery (3677),70
Image_5132.jpeg,"1585,985,1761,1029,",Trumpet  (4446),89
Image_282.jpeg,"517,226,544,268,",Violin (3573),99
Image_1116.jpg,"641,217,716,282,",Cymbals (2451),23
Image_5408.jpg,"3610,2088,3865,2355,",Natural trumpet (4419),59
Image_2955.jpg,"424,38,445,235,",Panpipe (4024),64
Image_3948.jpg,"461,2434,613,2805,",Harp (3285),42
Image_2681.jpg,"1191,132,1943,1993,",Fiddle (3142),34
Image_4960.jpg,"220,224,239,238,",Barrel drum (2504),5
Image_4033.jpg,"1224,1123,1421,1295,",Harp (3285),42
Image_985.jpg,"987,430,1319,449,",Fiddle (3142),34
Image_4041.jpg,"438,1323,491,1359,",Horn (4118),44
Image_1141.jpeg,"291,240,730,1245,",Violin (3573),99
Image_4989.jpg,"291,30,321,109,",Stringed instruments (3101),78
Image_5286.jpg,"238,346,253,355,",Violin (3573),99
Image_3252.jpg,"495,2744,1666,3571,",Shawm (4258),74
Image_1999.jpg,"289,433,1011,792,",Lute (3394),54
